Airline,Flight,AirportFrom,AirportTo,DayOfWeek,Time,Length,Class
WN,1795,HOU,PHX,4,1100,175,1
B6,437,BOS,MCO,7,1180,190,0
9E,4008,ATL,SBN,7,570,119,0
EV,7335,GNV,ATL,3,871,81,0
DL,2806,SFO,MSP,4,390,217,1
OO,6554,DEN,FAR,3,810,107,0
XE,2356,BHM,IAH,7,900,112,0
US,1787,BUF,CLT,5,705,113,1
XE,3156,CLE,PHL,3,915,95,1
WN,370,SJC,LAX,4,520,70,0
9E,3735,DTW,ABE,5,1305,93,0
OO,4775,SLC,PSC,3,530,110,0
MQ,3209,DFW,TYS,6,910,120,1
HA,10,HNL,LAX,2,480,325,1
F9,487,MCO,MKE,3,727,169,0
DL,1547,LGA,ATL,4,420,164,1
B6,28,TPA,JFK,3,1115,155,1
B6,496,DEN,BOS,2,655,223,0
DL,1328,ATL,RDU,3,1231,86,1
AA,607,ORD,LAX,4,1215,275,1
EV,5502,ATL,IAD,6,450,104,1
YV,2905,PHX,GJT,3,790,122,0
OO,6592,ORD,AVL,4,1200,105,1
US,601,LAS,PHX,3,705,70,1
OO,6692,SAN,LAX,4,684,45,0
FL,805,BWI,BOS,3,390,82,0
FL,962,BOS,CAK,3,1203,109,1
OO,6511,LAX,FAT,2,1246,57,1
EV,5091,AVL,ATL,7,910,79,1
OO,6614,PSC,DEN,5,875,131,1
UA,734,ORD,PIT,5,785,87,0
XE,5897,ORD,FAR,7,924,113,0
US,665,SNA,PHX,2,1140,77,0
DL,1639,ATL,SRQ,3,1017,91,1
AS,224,PDX,SFO,6,480,117,0
AS,516,SEA,SNA,7,1110,162,0
F9,103,MSP,DEN,3,375,131,0
AA,557,MIA,ORD,2,660,190,0
US,1170,MSY,CLT,5,665,106,1
EV,4967,ATL,BMI,1,1040,107,1
DL,2072,ATL,MSP,4,960,166,1
AA,374,TUS,ORD,2,410,205,0
AS,586,PDX,SNA,3,700,142,0
US,610,SNA,PHX,5,405,89,0
OO,6715,DEN,MSO,2,1304,135,0
EV,5304,ATL,GRK,6,1170,157,1
YV,7243,BTV,ORD,4,511,154,0
AA,536,DFW,ATL,4,400,125,0
MQ,4532,BNA,DCA,3,660,95,0
OO,6704,DEN,LNK,7,1299,78,0
MQ,2806,DFW,GSO,6,795,145,0
EV,5002,OAJ,ATL,3,830,103,1
DL,2846,MSP,PIT,2,1170,125,0
UA,738,DEN,MCO,7,489,208,0
HA,9,LAX,HNL,6,1030,355,0
AA,1021,ORD,LAS,4,570,235,0
OO,6279,IPL,LAX,1,870,65,0
UA,221,ALB,ORD,7,360,149,1
MQ,2946,LCH,DFW,4,435,80,1
FL,289,ATL,HOU,3,900,139,0
B6,109,BUF,JFK,2,485,84,0
OO,6394,FCA,DEN,5,428,130,0
US,400,CMH,PHX,3,465,274,0
OO,6380,SFO,BOI,1,651,92,1
WN,1039,MDW,FLL,1,1125,185,1
MQ,2949,DFW,TYS,7,760,120,1
CO,479,IAH,SAT,4,1160,66,1
UA,648,DEN,PIT,4,602,181,1
AA,480,SAN,DFW,4,1070,165,0
9E,4113,DTW,TVC,4,720,68,1
OO,6958,ORD,MKG,1,483,51,0
FL,1204,RSW,MDW,5,650,180,0
XE,5914,BIS,ORD,2,899,124,0
B6,709,JFK,SJU,4,960,239,1
XE,2808,XNA,EWR,1,1135,169,1
B6,76,PBI,JFK,5,768,160,1
WN,3408,LAS,TUS,2,1180,70,0
WN,2791,LAS,SLC,1,1260,75,1
WN,671,DEN,LAX,4,1095,160,1
MQ,4110,MDT,ORD,4,450,145,0
OO,6472,LAX,ABQ,4,455,109,0
FL,163,ATL,SJU,1,725,207,0
DL,1149,LAX,HNL,5,1080,369,0
WN,1773,STL,LAX,4,1125,250,1
YV,2672,SDF,CLT,3,735,90,1
OO,6534,IDA,DEN,4,815,89,1
MQ,2887,DFW,CID,1,620,120,1
B6,1416,LGB,AUS,3,720,165,1
YV,2771,PHX,SBA,5,1258,138,0
CO,9,BOS,EWR,3,450,77,0
US,1522,CLT,PHL,4,980,107,1
OO,4801,IAH,SLC,5,850,195,1
XE,2980,IAH,TYS,3,810,118,1
DL,2477,MSP,LAX,6,875,232,0
OO,6243,ORD,HPN,2,445,121,1
WN,3415,OAK,SAN,6,455,85,1
B6,40,TPA,JFK,6,455,150,0
EV,5063,ATL,OMA,1,951,150,1
YV,2927,CLT,CVG,6,1345,92,0
OO,6919,ORD,MKE,5,1200,48,1
OO,6575,MFR,SFO,3,621,75,0
HA,280,OGG,KOA,3,935,32,1
9E,4263,CVG,MCI,6,565,120,0
WN,2051,TPA,PBI,7,1100,55,1
DL,1730,ATL,CHS,1,725,69,0
WN,265,SAN,SFO,3,1190,90,1
US,524,BOS,PHX,7,590,354,1
FL,807,BWI,BOS,5,500,79,0
MQ,4036,ORD,LEX,2,1140,80,0
DL,2783,ATL,AUS,3,833,155,0
DL,1658,LGA,MSP,3,617,191,0
MQ,2836,LIT,DFW,1,1205,75,0
MQ,3630,BNA,MIA,6,860,140,1
MQ,2815,DFW,SAV,2,1075,130,1
WN,7,LBB,DAL,3,415,65,0
CO,1578,SAT,IAH,4,820,59,1
XE,2659,CLE,DFW,1,1010,180,0
AA,144,LAX,IAD,7,865,290,1
UA,53,JFK,LAX,6,690,383,0
WN,3414,SNA,PHX,3,1165,70,1
OO,6934,SFO,RNO,7,1373,64,1
FL,338,ATL,PHL,1,1325,112,0
FL,1422,IND,TPA,7,1016,133,0
UA,478,SFO,PDX,1,435,115,0
XE,5910,ORD,BHM,2,1170,108,1
CO,93,SFO,IAH,6,740,225,1
XE,2345,EWR,STL,2,565,187,1
AA,127,JFK,SAN,2,1125,370,0
9E,3980,MEM,MSN,6,1145,104,0
HA,31,LAS,OGG,3,1045,375,0
AS,224,PDX,SFO,5,480,117,1
FL,962,BOS,CAK,2,1220,105,0
AS,14,SEA,EWR,7,905,306,1
WN,1634,BUF,BWI,5,385,90,0
AA,682,MIA,JFK,2,895,185,0
WN,1830,BWI,BNA,6,460,120,1
MQ,4327,TVC,MQT,3,1255,45,0
UA,786,MSP,ORD,5,660,83,1
OO,6419,PDX,LAX,4,687,138,0
DL,2070,CHS,ATL,5,836,80,1
US,1464,TPA,CLT,2,930,100,1
WN,897,PHX,SNA,5,445,80,0
EV,5485,MDT,ATL,6,645,130,1
OH,6322,MEM,CMH,1,860,99,0
YV,2720,MYR,CLT,7,1201,74,0
DL,2647,LGA,ATL,5,1080,169,0
US,113,PHL,LAS,5,950,338,0
MQ,4260,BWI,ORD,3,360,140,1
OH,6745,JFK,DCA,6,960,106,0
DL,1123,SLC,DTW,3,520,218,0
9E,4184,SAT,MEM,5,975,115,0
UA,72,SFO,BOS,7,959,343,1
WN,1414,DAL,MSY,5,580,75,1
WN,3323,BNA,MDW,1,610,85,1
US,987,PHL,MCO,7,480,163,0
MQ,2822,DFW,TLH,6,810,120,1
YV,2680,CLT,CHS,1,1195,63,1
AA,890,SAT,DFW,1,575,65,1
OO,4808,LAX,SFO,4,1094,71,1
XE,3120,IAH,LIT,2,790,76,0
F9,404,LAX,DEN,3,660,134,1
DL,1474,MCO,MSP,6,458,217,0
AS,578,PDX,SAN,1,625,143,0
B6,437,BOS,MCO,6,1180,190,0
9E,3821,MSP,MLI,5,1175,80,1
AA,117,JFK,LAX,1,825,370,0
OO,6964,PDX,SEA,1,440,50,0
MQ,3326,TYS,DFW,3,810,155,0
DL,1906,LAX,DTW,6,1010,264,1
MQ,3045,DEN,LAX,3,950,150,0
FL,908,ATL,PHF,7,817,86,1
DL,2224,ATL,BWI,4,580,119,1
CO,1496,LAS,IAH,3,60,163,1
WN,574,LAS,BUR,7,760,65,1
CO,655,PIT,IAH,5,500,195,0
US,1490,CLT,LGA,7,971,109,0
CO,111,EWR,CLE,3,1050,100,1
OO,6860,DEN,GJT,3,1221,52,1
OO,4580,LAX,SLC,7,700,110,1
WN,852,PHX,BUR,1,1005,85,0
WN,1664,SJC,LAX,7,730,70,1
WN,3081,MSY,DAL,5,1160,85,1
WN,450,SMF,ONT,5,1045,75,1
WN,255,ONT,DEN,5,390,135,1
WN,2146,MDW,RSW,5,1040,170,1
AA,742,DFW,LGA,2,985,205,1
EV,5166,MEM,SHV,3,560,74,0
US,1277,IND,PHL,1,785,104,0
UA,840,LAX,ORD,1,720,245,1
DL,2063,DCA,MSP,3,505,173,0
OO,6583,COS,DEN,5,600,49,0
XE,5906,ROA,ORD,4,619,116,0
OH,6709,CVG,STL,7,1230,95,0
EV,5496,ATL,CHO,5,898,94,1
OO,6654,SBP,SFO,4,819,61,0
MQ,3840,ORD,ATL,4,855,120,0
DL,2327,ATL,FLL,5,1147,118,1
OO,6484,SEA,SFO,1,1176,122,0
YV,7290,ORD,MEM,4,501,100,0
AS,120,ANC,SEA,4,450,209,0
MQ,2807,DFW,FWA,4,1095,130,0
XE,2391,EWR,DAY,4,968,118,1
CO,600,FLL,EWR,2,400,169,0
WN,578,LAX,TUS,4,1155,75,1
AA,1501,DFW,ABQ,3,1155,110,1
WN,42,ABQ,OAK,1,1170,155,1
US,1638,TPA,CLT,1,720,100,0
MQ,3978,CID,ORD,6,675,70,0
WN,677,OAK,PHX,1,995,115,1
US,614,PHX,ATL,5,960,212,1
WN,1268,BOS,BWI,5,405,110,1
FL,144,ATL,DTW,3,1335,118,1
AA,2097,DFW,SAT,7,635,65,0
MQ,4220,ORD,BNA,3,620,90,1
WN,690,BWI,MDW,4,755,125,1
DL,1573,LGA,MEM,7,675,181,1
OO,6439,CWA,EAU,2,1401,38,0
DL,1703,ATL,LAS,1,1050,274,0
UA,639,PVD,ORD,7,1050,165,0
AA,1404,RSW,ORD,7,945,195,0
DL,2935,DTW,MSP,1,925,118,0
AS,730,SEA,IAH,4,680,250,1
WN,16,LAS,LAX,5,825,65,0
EV,7099,IAD,CVG,3,1049,100,0
DL,371,ATL,IAH,3,450,140,1
WN,1699,MSY,LAS,6,1020,240,1
CO,1441,IAH,AUS,3,1165,60,1
XE,5937,ORD,IND,1,873,59,0
CO,461,PHX,IAH,7,675,153,1
B6,766,BQN,MCO,3,240,169,1
HA,241,ITO,HNL,5,1256,49,1
DL,348,ATL,ORF,2,900,101,0
AA,719,MIA,TPA,7,1080,60,0
OO,4667,OMA,SLC,5,380,150,0
MQ,4572,CLE,LGA,5,740,95,0
WN,1847,MDW,BNA,5,480,85,0
OO,6509,TUS,LAX,4,571,92,0
MQ,2786,GPT,DFW,3,415,110,0
WN,1234,PDX,OAK,5,615,100,1
OO,6267,FAT,SFO,2,1170,54,1
US,1700,CLT,BDL,5,870,110,0
AA,1074,OMA,DFW,4,675,115,0
CO,291,MIA,IAH,5,703,167,0
OO,6360,ORD,DAY,4,973,64,1
MQ,3080,LAX,SBA,1,810,40,1
DL,1247,MLB,ATL,1,674,101,0
US,27,PHL,PHX,6,415,317,1
WN,5,AMA,DAL,3,385,65,0
WN,1324,MDW,TPA,4,1115,155,1
WN,2629,SAN,LAS,5,1145,70,1
WN,3484,SMF,SAN,2,1270,80,1
HA,509,HNL,LIH,4,485,37,1
UA,579,DSM,DEN,5,492,123,0
WN,1326,LAS,SNA,3,535,60,1
AS,347,OAK,SEA,5,420,120,0
YV,2879,TUS,PHX,7,1150,59,0
DL,1936,MKE,DTW,6,601,70,0
OO,4471,SEA,SLC,6,690,114,0
B6,726,BQN,JFK,1,1055,235,1
MQ,3024,LAX,RNO,2,750,90,1
OO,6672,SPI,ORD,6,1105,58,1
DL,2988,MCO,CVG,7,970,133,0
DL,1322,MSY,ATL,3,975,93,1
DL,1328,ATL,RDU,1,1231,86,1
EV,5168,ATL,AVL,1,757,56,0
FL,260,DCA,MKE,4,390,125,0
OO,6620,LAX,RNO,6,852,85,0
CO,752,IAH,SLC,5,1275,200,1
MQ,3394,BTR,DFW,4,1195,90,0
YV,7299,PVD,IAD,4,1152,93,1
WN,3516,JAX,TPA,7,485,55,1
WN,3310,PBI,ISP,2,1125,160,1
WN,936,HOU,ELP,2,1055,120,1
US,1890,PBI,CLT,5,900,112,0
XE,2143,GSP,IAH,1,360,160,0
WN,1768,MCO,MDW,3,875,170,1
UA,412,SAT,IAD,1,714,201,0
WN,44,HOU,DAL,4,1020,60,1
FL,1451,PBI,HPN,5,908,166,0
MQ,3295,DFW,CAE,5,845,135,0
DL,1333,ATL,SLC,7,1130,255,1
US,940,SAN,PHX,5,980,75,0
DL,1290,ATL,DTW,6,1305,131,1
AA,1959,BOS,MIA,7,1060,225,1
AA,1810,AUS,DFW,3,395,65,0
YV,2629,CLT,JAX,6,1075,82,1
9E,4302,DTW,CHS,4,830,127,0
WN,1713,BWI,PVD,6,1015,70,1
F9,557,DEN,SAN,4,510,142,1
AS,124,FAI,SEA,5,525,225,0
OO,6927,DEN,HLN,1,681,116,1
UA,20,SMF,DEN,3,466,153,0
DL,1738,SRQ,ATL,6,953,101,0
OH,6576,LEX,DTW,3,912,80,0
AA,1140,DFW,ATL,6,475,125,0
B6,40,TPA,JFK,1,455,150,0
FL,461,BWI,ATL,1,360,125,0
OO,4494,BIL,SLC,3,1035,82,0
EV,7120,IAD,LGA,5,882,83,0
US,1680,TPA,DCA,5,520,124,0
FL,861,ATL,MCO,1,798,89,1
WN,360,ELP,AUS,3,1175,85,0
WN,2004,DEN,LAX,3,880,155,1
YV,2662,STL,CLT,5,770,111,1
WN,3773,BWI,BOS,1,1235,80,1
DL,2728,SLC,MSP,2,587,168,0
MQ,4220,ORD,BNA,5,635,85,0
OO,6474,LAX,ABQ,6,975,108,0
UA,699,IAD,SJU,3,495,222,1
OO,4691,MSP,CMH,1,935,108,1
AS,115,SEA,ANC,6,1110,223,0
FL,901,PHF,ATL,3,360,123,0
YV,1012,LIH,HNL,4,600,29,0
OO,6323,ORD,OKC,5,489,130,0
DL,2604,LAX,SLC,4,984,111,1
MQ,3691,CLE,MIA,3,1040,180,0
US,2024,DCA,BOS,3,510,82,0
WN,3320,PHX,OAK,3,720,125,1
B6,702,SJU,JFK,4,550,238,1
9E,3797,DTW,CMH,5,920,59,1
AA,1294,IAH,MIA,3,1075,140,0
CO,1694,LAX,IAH,1,1100,184,0
MQ,2787,LRD,DFW,3,935,80,1
DL,2952,TPA,LGA,4,430,156,0
DL,1605,DTW,MCO,2,485,173,1
OO,6725,SAT,DEN,1,1170,136,1
UA,876,SEA,DEN,4,682,153,0
AA,1740,SNA,DFW,2,450,175,0
DL,2341,MSP,OMA,6,1175,71,0
WN,650,MDW,MHT,7,660,120,1
AS,92,ANC,SEA,4,870,203,0
DL,2734,RSW,MSP,4,450,224,0
UA,387,MSP,DEN,2,1115,133,0
US,1883,JAX,CLT,3,835,77,0
CO,352,IAH,GUC,1,700,157,1
AA,353,LGA,ORD,2,1180,155,0
XE,2538,AUS,IAH,7,450,54,0
WN,2958,SAT,LAX,1,625,200,0
9E,4221,DTW,ROC,2,1035,89,0
DL,2952,TPA,LGA,5,420,159,0
US,1897,CLT,ATL,4,1340,67,0
OO,6547,PSP,SFO,4,637,88,1
FL,758,MCO,HSV,3,930,100,0
XE,2052,ORD,EWR,3,585,125,1
XE,2314,ELP,IAH,6,520,109,0
UA,393,ORD,PHX,1,718,236,1
DL,2918,MCO,ATL,7,1230,101,1
WN,1161,HOU,LAS,2,1110,205,1
WN,774,PIT,MDW,5,1080,95,1
AA,1262,SNA,ORD,3,1035,225,1
MQ,3383,DFW,GPT,4,900,90,0
XE,2026,STL,EWR,3,605,143,0
AA,1918,TPA,ORD,7,940,170,0
AA,1871,PBI,DFW,6,475,190,0
XE,2308,IAH,BRO,4,920,68,0
UA,250,PDX,IAD,3,464,290,0
DL,684,ATL,CVG,7,595,97,0
DL,1463,DCA,MSP,3,1200,176,0
MQ,4014,ORD,IND,5,610,60,0
YV,2717,FAT,PHX,1,570,95,0
WN,1264,HOU,MDW,1,1005,145,0
US,1910,FLL,CLT,5,390,116,0
OH,6649,CVG,DTW,2,1175,85,0
WN,628,BWI,BHM,4,865,135,1
WN,1943,DEN,TUS,3,1230,115,0
YV,7295,ORD,SBN,2,902,39,0
DL,2986,ATL,LGA,6,1300,135,1
DL,2133,ATL,PBI,1,505,112,1
AA,1885,SAT,DFW,1,540,70,0
FL,363,LGA,ATL,6,420,160,1
AA,1825,ORD,SFO,6,985,280,1
OO,6219,LAX,DFW,5,807,177,1
WN,524,DAL,MCI,2,410,85,1
9E,3804,CLE,ATL,6,335,128,0
AA,1263,MIA,IAH,4,455,175,0
XE,3064,CHS,EWR,3,740,118,0
XE,2364,EWR,STL,5,881,170,1
FL,454,ATL,MSY,7,1075,98,0
B6,667,BUF,MCO,4,553,167,0
DL,2166,CHS,ATL,6,510,83,0
F9,319,DCA,MKE,6,375,130,1
AS,509,SNA,SEA,4,840,170,0
EV,5308,ATL,BHM,1,1050,54,1
AA,1150,SNA,ORD,3,705,240,1
MQ,3736,ORD,EWR,6,360,120,0
9E,3921,MEM,CLE,6,855,116,0
OO,6382,SFO,BOI,5,405,91,1
FL,984,ATL,PIT,3,630,98,0
WN,1196,PVD,BWI,3,905,80,0
MQ,4069,BMI,ORD,7,390,50,1
MQ,2905,DFW,LIT,1,865,70,1
FL,706,DAY,ATL,7,1122,98,1
WN,834,STL,DTW,6,720,90,1
WN,24,PHL,HOU,5,505,245,0
HA,15,SAN,HNL,2,550,365,0
WN,607,MDW,LAS,4,890,245,1
EV,5461,ATL,TUL,4,660,133,1
WN,2655,LAS,BUR,1,490,65,0
XE,2673,DTW,IAH,3,712,172,0
OO,6332,PDX,EUG,3,930,36,0
EV,7082,CAE,ORD,2,607,128,0
WN,2049,SAN,SJC,3,1130,80,1
US,1924,CLT,BWI,3,700,85,1
MQ,3074,LAX,RNO,4,365,90,0
WN,3159,MCI,SAN,1,1200,220,1
WN,892,BHM,BWI,1,420,110,0
WN,674,HOU,JAN,5,530,65,0
MQ,3373,CRP,DFW,1,495,80,0
MQ,4006,ORD,CHA,4,855,95,0
CO,170,IAH,SFO,3,540,255,1
XE,2562,IAH,DAL,1,1050,61,0
OH,6744,DCA,CMH,4,537,92,0
US,1701,CLT,DCA,4,695,76,0
WN,1321,SJC,PDX,7,960,110,1
OO,3099,MKE,IND,3,460,64,1
AA,690,MIA,RDU,7,1235,120,0
F9,727,DCA,DEN,5,825,237,1
B6,709,JFK,SJU,4,960,239,0
DL,1926,FLL,ATL,5,838,120,1
WN,1412,OAK,HOU,6,715,220,1
WN,2264,BWI,MHT,1,575,75,1
UA,202,SFO,LAX,5,511,91,1
US,485,PHL,DEN,7,1080,265,0
DL,158,DTW,LGA,3,1185,115,0
FL,569,BMI,ATL,4,1060,100,0
DL,689,ATL,RIC,7,1160,96,1
OO,4750,SLC,HLN,7,1201,79,0
OO,4493,SLC,BZN,5,685,80,0
DL,2466,PBI,DTW,4,827,178,1
OO,7763,PIH,SLC,2,360,48,0
WN,1328,ONT,SMF,5,1235,80,1
UA,149,ORD,SFO,1,422,286,1
DL,1569,ATL,MCO,2,905,90,1
US,1096,PHL,RDU,2,940,82,0
UA,938,DEN,ORD,1,948,150,1
WN,624,SMF,LAX,3,1245,80,0
OO,6246,FAT,LAX,1,607,70,1
WN,1254,LAX,SMF,1,695,80,1
B6,904,ORD,JFK,4,550,122,0
DL,2520,ATL,RSW,5,1320,106,0
CO,1720,MTJ,IAH,2,865,145,1
UA,977,IAD,DEN,2,499,255,1
FL,11,SJU,MCO,2,1080,199,1
MQ,3064,SAN,LAX,6,1195,45,0
WN,620,LAS,JAX,5,930,245,1
WN,544,RDU,BWI,6,935,60,1
WN,940,MDW,OMA,1,635,85,1
AA,1418,SAN,DFW,6,450,175,0
CO,480,LAS,CLE,2,677,240,0
AA,1356,MSY,DFW,2,490,105,0
DL,2873,TPA,MEM,1,1065,125,0
WN,1229,BWI,BNA,4,950,120,1
DL,2993,BDL,PBI,5,945,192,1
WN,719,MSY,DAL,1,1245,85,1
XE,2522,MSP,IAH,4,1049,176,0
WN,250,LAS,MKE,7,680,210,1
MQ,4648,RDU,LGA,6,1040,100,0
B6,120,MSY,JFK,3,1089,169,0
MQ,3601,MIA,CHS,7,780,100,1
AS,23,ORD,SEA,7,930,275,1
WN,2968,MDW,RSW,3,680,175,1
CO,1006,IAH,TPA,6,672,122,0
DL,1087,ATL,BHM,2,1365,52,0
9E,4230,DTW,BGM,3,630,85,0
WN,1857,DTW,MDW,6,555,75,1
HA,382,HNL,ITO,4,593,51,0
AA,1433,MIA,MSY,6,640,130,0
FL,793,ATL,STL,5,1340,102,0
OO,4809,CVG,CLE,1,665,70,1
WN,647,PHX,DEN,5,360,105,0
CO,241,IAH,AUS,6,790,46,0
AS,23,ORD,SEA,5,930,275,0
EV,5515,LEX,MEM,4,740,87,1
WN,366,HOU,MDW,6,755,145,0
AS,55,ANC,FAI,4,360,60,1
AA,1201,ORD,STL,2,910,65,0
DL,2323,DTW,PHX,1,720,265,1
OO,6351,PSP,SFO,4,1222,91,1
CO,767,SEA,ANC,5,1100,229,0
9E,3997,MLI,MEM,6,370,96,1
FL,1401,MCO,ROC,4,892,152,0
WN,1525,BDL,BNA,4,455,160,0
AA,1389,BNA,DFW,7,585,130,0
FL,604,RSW,BWI,7,1113,137,1
EV,5244,ATL,LEX,1,650,78,1
OH,6589,CVG,DTW,5,460,87,0
WN,903,LAS,RNO,5,1315,75,1
YV,2681,CVG,CLT,4,420,86,0
OO,7004,DEN,GJT,7,728,58,1
B6,325,BDL,FLL,5,440,197,0
UA,180,SFO,BOS,5,1367,340,0
WN,3773,LAS,PHX,5,470,70,1
9E,4391,DTW,RDU,5,450,105,1
MQ,4433,LGA,RDU,7,360,100,0
DL,2090,DEN,JFK,4,660,239,1
US,490,ONT,PHX,2,765,70,0
UA,137,IAD,LAX,7,1179,351,0
DL,1781,SFO,LAX,3,1091,87,1
DL,1848,DTW,LGA,1,445,125,0
US,1768,CLT,DCA,7,990,80,1
OO,4777,SLC,ABQ,5,1005,102,0
EV,7099,ORD,CVG,7,703,71,1
WN,216,DAL,AUS,4,1100,55,1
US,1839,SYR,PHL,3,445,84,0
AS,573,SAN,PDX,5,400,160,0
DL,1710,DFW,ATL,7,720,126,0
DL,2804,MSY,LAX,7,1130,267,1
WN,3751,DAL,MSY,7,1265,75,1
OO,6610,GJT,DEN,1,934,52,0
WN,136,SAN,LAS,2,650,70,0
AA,1495,JAX,DFW,3,425,175,0
AA,820,EGE,MIA,1,790,245,0
MQ,3699,MIA,CVG,7,1290,160,1
OO,6717,DEN,PSP,7,1120,135,0
EV,5324,DTW,BNA,3,545,107,0
AA,16,SFO,JFK,4,750,335,0
XE,5900,TYS,ORD,5,449,113,0
OO,7776,RKS,SLC,7,906,69,1
9E,4224,DTW,LAN,6,935,49,0
OO,4750,SLC,HLN,4,1201,79,0
9E,3717,BNA,ATL,2,1175,87,0
YV,2898,PHX,DRO,1,1080,106,0
9E,4008,ORF,JFK,3,380,94,0
EV,5428,LFT,MEM,2,380,83,1
AA,1394,DFW,FLL,3,540,155,1
DL,1418,MCO,ATL,6,390,94,0
DL,1188,MSY,ATL,6,1050,90,0
US,889,CLT,ILM,1,1210,60,0
WN,1082,OAK,SAN,4,690,85,1
AS,851,SEA,HNL,6,540,376,0
WN,984,MDW,MCI,5,475,90,1
OO,3099,MKE,IND,5,460,64,1
FL,632,DAY,BWI,1,760,81,0
US,2191,LGA,DCA,1,1260,74,0
OO,6412,SFO,EUG,1,1351,88,1
UA,312,TPA,IAD,6,845,135,0
WN,1669,ABQ,PHX,5,490,75,0
WN,491,JAN,HOU,4,785,80,1
EV,5507,CHO,ATL,4,360,102,0
WN,944,ONT,PHX,3,460,70,1
US,976,CLT,IAD,4,1350,85,0
AA,2079,ORD,SAN,3,510,260,1
DL,2339,DCA,ATL,6,720,119,1
OH,6769,GSO,ATL,4,495,108,0
DL,1229,ATL,PBI,5,1316,110,0
DL,1996,MSP,LGA,2,425,170,0
MQ,4500,XNA,LGA,2,1075,180,0
WN,2772,SAT,BNA,6,645,125,0
UA,778,BDL,IAD,6,599,92,0
MQ,4499,DTW,LGA,5,360,100,0
OO,4832,SLC,MSO,3,919,88,1
EV,5099,GSO,ATL,1,1075,93,1
CO,339,MIA,EWR,4,675,184,0
WN,2597,RNO,SAN,5,615,85,1
US,1515,PHX,LAS,1,1275,70,0
CO,389,CLE,PHX,5,1250,282,1
MQ,3479,DFW,LIT,4,505,70,0
F9,402,LAX,DEN,5,1220,131,0
DL,2944,MSP,RAP,6,1325,99,0
WN,883,ISP,PBI,4,440,180,0
F9,855,DEN,PHX,2,395,110,0
DL,2487,ATL,MSP,2,885,163,0
MQ,3336,DFW,GJT,5,1100,135,1
AS,474,SEA,LAX,3,1055,157,0
XE,2701,IAH,ABQ,1,1080,135,0
WN,740,SNA,LAS,4,700,65,0
OH,6324,CLT,MSP,1,680,175,0
UA,483,ORD,PDX,5,1230,275,0
B6,681,BOS,DCA,2,580,101,0
XE,3074,DTW,EWR,4,378,102,0
MQ,4146,JFK,CMH,3,895,125,0
FL,159,IND,BWI,4,1145,100,0
EV,5206,CHA,ATL,4,842,58,0
OH,6383,CVG,CLE,1,560,69,0
UA,84,HNL,LAX,2,1299,332,0
DL,1762,DTW,PHL,4,615,104,1
MQ,4144,ORD,CMI,4,995,50,0
WN,589,LAS,SLC,3,1295,75,1
EV,5207,CHA,ATL,4,400,52,0
AA,1400,ORD,MCO,4,875,155,1
EV,5120,ATL,LIT,2,821,102,0
MQ,4357,ORD,GRB,1,1020,60,0
EV,7089,IAD,PWM,6,1323,92,0
9E,4115,BUF,DTW,1,1155,80,1
AA,531,DCA,STL,6,960,135,0
US,1724,DCA,PVD,1,1275,71,1
DL,1687,BOS,MSP,6,355,210,1
OO,6618,GTF,DEN,3,440,112,0
OH,6326,MCI,LGA,7,1125,168,0
9E,3814,MSP,CLE,7,800,117,1
DL,1480,SFO,ATL,7,435,269,0
CO,1712,SJU,IAH,5,1037,288,1
WN,180,RDU,TPA,1,505,110,1
WN,444,HOU,ELP,6,600,120,1
9E,3819,DTW,EVV,2,920,91,1
WN,1369,MDW,BWI,6,1095,110,0
OO,4730,SAN,LAX,1,1040,44,1
AA,2057,ORD,SJU,1,495,270,1
WN,195,MDW,STL,5,475,70,0
XE,3111,IAH,ELP,3,1280,118,0
OO,4473,SLC,ABQ,2,920,103,1
B6,1249,BOS,IAD,7,375,100,0
WN,912,DEN,FLL,5,720,230,1
US,450,PHX,SLC,3,880,97,1
XE,2414,MSY,CLE,1,670,133,1
AA,1192,DFW,ORF,2,815,160,0
FL,430,ATL,MKE,5,1075,126,0
OO,6401,SFO,BUR,7,550,69,0
YV,2631,CLT,SAV,6,564,64,0
XE,5895,ORD,BHM,5,365,103,0
DL,2670,ATL,FNT,3,538,123,0
AA,1777,JFK,MCO,4,479,180,1
DL,2126,FLL,ATL,3,685,115,1
OO,6875,DEN,SNA,2,919,141,1
EV,5045,ORD,DTW,6,825,86,0
YV,2850,YUM,PHX,3,1155,70,0
AA,1205,PHL,DFW,5,500,240,0
AA,455,ORD,LAX,1,905,265,1
HA,181,ITO,HNL,7,771,49,0
US,1807,PIT,PHL,1,425,81,1
9E,4390,CID,DTW,4,375,106,0
WN,807,ONT,OAK,6,435,75,1
9E,4391,MBS,DTW,2,351,59,0
MQ,2782,LEX,DFW,7,385,160,0
OO,6598,SFO,SMF,3,442,43,0
AA,1662,LAS,ORD,2,970,210,0
CO,1676,IAH,PHL,7,970,184,1
AS,160,ANC,ADK,4,845,187,0
OH,6267,CVG,MEM,6,750,100,0
DL,1684,SJC,ATL,4,1360,262,1
OO,6461,YUM,IPL,6,1285,27,0
9E,4003,MEM,OKC,7,815,101,1
EV,5510,ROA,ATL,6,625,94,0
OH,6752,OMA,MSP,2,660,79,0
FL,115,ATL,DFW,3,996,139,0
